"","factor","MeanDecreaseGini"
"249","numChangeOperations",6.76515592636277
"250","AvgAge",8.97451283209723
"251","MaxAge",8.07254188089298
"252","AvgLastModified",7.68955965444413
"253","AvgAge",9.93372597063634
"254","MaxAge",9.12016466585861
"255","numChangeOperations",7.67871493708253
"256","MaxAge",8.99740717790743
"257","AvgAge",8.91155656736097
"258","numChangeOperations",7.08932441653436
"259","MaxAge",8.9229848070907
"260","AvgAge",8.50539223798857
"261","numChangeOperations",7.56251875316945
"262","MaxAge",9.05745238994045
"263","AvgAge",8.78167927644308
"264","NumParents_depth_3",6.82027705971811
"265","AvgAge",9.92775169933951
"266","MaxAge",8.77564331274211
"267","numChangeOperations",6.9959777767415
"268","MaxAge",7.88468767730403
"269","AvgAge",7.78886502587694
"270","effectiveNumOperations",6.92837159706413
"271","AvgAge",9.40158469312385
"272","MaxAge",8.70802561732394
"273","numChangeOperations",6.38313851131401
"274","AvgAge",8.38248282540683
"275","MaxAge",8.26662739466544
"276","numChangeOperations",7.10813646781824
"277","AvgAge",8.15646550793752
"278","MaxAge",7.83782508279483
"279","numChangeOperations",6.93918858002265
"280","AvgAge",9.08332381561083
"281","MaxAge",8.69002538466324
"282","effectiveNumOperations",6.53175004139636
"283","MaxAge",8.06555365295661
"284","AvgAge",7.76539497492098
"285","numChangeOperations",7.21649776972511
"286","AvgAge",9.87160195073762
"287","MaxAge",9.04315563995515
"288","numChangeOperations",7.52607867315977
"289","AvgAge",8.94760828008125
"290","MaxAge",8.32208780713027
"291","numChangeOperations",7.30247532021574
"292","MaxAge",8.45017625664563
"293","AvgAge",8.41022899376912
"294","numChangeOperations",7.67813460891391
"295","AvgAge",9.34072947457548
"296","MaxAge",8.2368976563656
"297","numChangeOperations",7.36178311804986
"298","AvgAge",9.28965046014259
"299","MaxAge",8.16241119449017
"300","numChangeOperations",6.72946672561274
