"","TYPE","Mean_No..Methods","Mean_LCOM","Mean_AVCC","Mean_NOS","Mean_HBUG","Mean_HEFF","Mean_UWCS","Mean_INST","Mean_PACK","Mean_RFC","Mean_CBO","Mean_MI","Mean_CCML","Mean_NLOC","Mean_F.IN","Mean_DIT","Mean_MINC","Mean_S.R","Mean_R.R","Mean_COH","Mean_LMC","Mean_LCOM2","Mean_MAXCC","Mean_HVOL","Mean_HIER","Mean_NQU","Mean_FOUT","Mean_SIX","Mean_EXT","Mean_NSUP","Mean_TCC","Mean_NSUB","Mean_MPC","Mean_NCO","Mean_INTR","Mean_CCOM","Mean_HLTH","Mean_MOD","SUM_No..Methods","SUM_LCOM","SUM_AVCC","SUM_NOS","SUM_HBUG","SUM_HEFF","SUM_UWCS","SUM_INST","SUM_PACK","SUM_RFC","SUM_CBO","SUM_MI","SUM_CCML","SUM_NLOC","SUM_F.IN","SUM_DIT","SUM_MINC","SUM_S.R","SUM_R.R","SUM_COH","SUM_LMC","SUM_LCOM2","SUM_MAXCC","SUM_HVOL","SUM_HIER","SUM_NQU","SUM_FOUT","SUM_SIX","SUM_EXT","SUM_NSUP","SUM_TCC","SUM_NSUB","SUM_MPC","SUM_NCO","SUM_INTR","SUM_CCOM","SUM_HLTH","SUM_MOD"
"7289bf9e1c84c2a1d9a3e1c342a47e34a265d6d3","BUG",0.00628930817610063,0,0.00278825995807128,-0.010482180293501,-0.000377358490566038,-15.0165408805031,0.010482180293501,0.00419287211740042,0,-0.00209643605870021,0,0.279853249475891,0,-0.00209643605870021,0.00209643605870021,0.00419287211740042,0.279874213836478,0,0.0010482180293501,0.0010482180293501,0,0.00419287211740042,0.00419287211740042,-1.13968553459119,0,0,-0.00209643605870021,0,-0.00838574423480084,0.00209643605870021,0.00838574423480084,0,-0.00838574423480084,0.00628930817610063,0,0,-0.142557651991614,0.00209643605870021,3,0,1.33,-5,-0.18,-7162.88999999998,5,2,0,-1,0,133.49,0,-1,1,2,133.5,0,0.5,0.5,0,2,2,-543.629999999999,0,0,-1,0,-4,1,4,0,-4,3,0,0,-68,1
"c8aafc5c1a1fb5db8c3ca851181f81dce473168f","BUG",0.00573613766730402,0,0.00254302103250478,-0.00956022944550669,-0.000344168260038241,-13.695774378585,0.00956022944550669,0.00382409177820268,0,-0.00191204588910134,0,0.255239005736138,0,-0.00191204588910134,0.00191204588910134,0.00382409177820268,0.255258126195029,0,0.000956022944550669,0.000956022944550669,0,0.00382409177820268,0.00382409177820268,-1.03944550669216,0,0,-0.00191204588910134,0,-0.00764818355640535,0.00191204588910134,0.00764818355640535,0,-0.00764818355640535,0.00573613766730402,0,0,-0.130019120458891,0.00191204588910134,3,0,1.33,-5,-0.18,-7162.88999999998,5,2,0,-1,0,133.49,0,-1,1,2,133.5,0,0.5,0.5,0,2,2,-543.629999999999,0,0,-1,0,-4,1,4,0,-4,3,0,0,-68,1
"fceb87e3bc93c31d9965f3a0645e38f3ef378f4f","BUG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a6db7c51857b6c4640032f03c9618993e7796256","BUG",-0.00570342205323194,0.00032319391634981,0.00127376425855513,0.0342205323193916,0.000741444866920152,30.2023954372624,0.00190114068441065,0.00760456273764259,0,0.032319391634981,0.00190114068441065,0.0129277566539924,-0.00380228136882129,0.0361216730038023,-0.00570342205323194,0.00190114068441065,0.0402091254752851,0,0.000950570342205323,0.000836501901140684,0.00380228136882129,-0.0114068441064639,0.00190114068441065,2.17874524714829,0,0.00190114068441065,0.00760456273764259,0,0.0380228136882129,0.00190114068441065,0.00380228136882129,0,0.0380228136882129,-0.00760456273764259,0,0,0.363117870722433,0.00380228136882129,-3,0.17,0.67,18,0.39,15886.46,1,4,0,17,1,6.79999999999999,-2,19,-3,1,21.15,0,0.5,0.44,2,-6,1,1146.02,0,1,4,0,20,1,2,0,20,-4,0,0,191,2
"390d410f213900033e6cde27cbe3b5b5bb176eec","BUG",-0.00625,0.000354166666666667,0.00139583333333333,0.0375,0.0008125,33.0967916666667,0.00208333333333333,0.00833333333333333,0,0.0354166666666667,0.00208333333333333,0.0141666666666667,-0.00416666666666667,0.0395833333333333,-0.00625,0.00208333333333333,0.0440625,0,0.00104166666666667,0.000916666666666667,0.00416666666666667,-0.0125,0.00208333333333333,2.38754166666666,0,0.00208333333333333,0.00833333333333333,0,0.0416666666666667,0.00208333333333333,0.00416666666666667,0,0.0416666666666667,-0.00833333333333333,0,0,0.397916666666667,0.00416666666666667,-3,0.17,0.67,18,0.39,15886.46,1,4,0,17,1,6.79999999999999,-2,19,-3,1,21.15,0,0.5,0.44,2,-6,1,1146.02,0,1,4,0,20,1,2,0,20,-4,0,0,191,2
"7dd05afc3837223586218110778600c00250901b","BUG",0,-4.18410041841004e-05,-0.000313807531380753,-0.0125523012552301,-0.000146443514644352,-6.19121338912134,-0.00209205020920502,-0.00209205020920502,-0.00418410041841004,-0.00418410041841004,0,0.00610878661087866,0,-0.0146443514644351,0,0,0.00610878661087866,0,0,0.000125523012552301,0,0,-0.00209205020920502,-0.452384937238494,0,0,0,0,-0.00418410041841004,0,-0.00209205020920502,0,-0.00418410041841004,0,0,0,-0.0753138075313808,0,0,-0.02,-0.15,-6,-0.0700000000000001,-2959.4,-1,-1,-2,-2,0,2.92,0,-7,0,0,2.92,0,0,0.06,0,0,-1,-216.24,0,0,0,0,-2,0,-1,0,-2,0,0,0,-36,0
"ae1162787822a8769c0baf976215733a89cc0bab","BUG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9f0bc2474fed55c3e1a5f770f7e7c45bf30aa244","BUG",0,-3.81679389312977e-05,-0.000286259541984733,-0.0114503816793893,-9.54198473282443e-05,2.02906488549618,-0.00190839694656489,-0.00190839694656489,-0.00381679389312977,-0.00381679389312977,0,0.00454198473282443,0,-0.0133587786259542,0,0,0.00456106870229008,0,0,0.000114503816793893,0,0,-0.00190839694656489,-0.295648854961832,0,0,0,0,-0.00381679389312977,0,-0.00190839694656489,0,-0.00381679389312977,0,0,0,-0.0515267175572519,0,0,-0.02,-0.15,-6,-0.05,1063.23,-1,-1,-2,-2,0,2.38,0,-7,0,0,2.39,0,0,0.06,0,0,-1,-154.92,0,0,0,0,-2,0,-1,0,-2,0,0,0,-27,0
"a6fe2177be080dcf9f1f8f4a1f904f7d6b996076","BUG",0,0,0,0,-3.81679389312977e-05,-7.67677480916031,0,0,0,0,0,0.00103053435114505,0,0,0,0,0.00101145038167939,0,0,0,0,0,0,-0.117022900763359,0,0,0,0,0,0,0,0,0,0,0,0,-0.017175572519084,0,0,0,0,0,-0.02,-4022.63,0,0,0,0,0,0.540000000000006,0,0,0,0,0.530000000000001,0,0,0,0,0,0,-61.3199999999999,0,0,0,0,0,0,0,0,0,0,0,0,-9,0
"cac1432472a1bec4c39482c12cc993d23473683f","RFE",0.00924214417744917,0.00138632162661738,0.0055452865064695,0.0406654343807763,0.000314232902033272,4.12364140480592,0.0203327171903882,0.011090573012939,0.0166358595194085,0.0203327171903882,0.00369685767097967,0.66268022181146,0.0240295748613678,0.0573012939001848,-0.00184842883548983,0.0055452865064695,0.705231053604436,0,0,0.00207024029574861,0,0.00369685767097967,0.0055452865064695,0.951571164510166,0,0.00369685767097967,0.0055452865064695,0,0.011090573012939,0,0.00924214417744917,0,0.011090573012939,0.0055452865064695,0.00184842883548983,0.00369685767097967,0.256931608133087,0.00369685767097967,5,0.75,3,22,0.17,2230.89,11,6,9,11,2,358.51,13,31,-1,3,381.53,0,0,1.12,0,2,3,514.8,0,2,3,0,6,0,5,0,6,3,1,2,139,2
"9867254c972ef5e73afedfd54a65d585b088a203","RFE",-0.0089126559714795,0.00308377896613191,-0.0118716577540107,-0.28698752228164,-0.00541889483065954,-413.788591800357,-0.0320855614973262,-0.0231729055258467,-0.336898395721925,-0.142602495543672,-0.0142602495543672,-0.913422459893048,-0.20855614973262,-0.418894830659537,-0.0071301247771836,-0.0124777183600713,-1.34720142602496,0.00267379679144385,-0.0018716577540107,-0.00228163992869875,-0.0035650623885918,-0.0053475935828877,-0.0481283422459893,-16.3943315508021,0.0071301247771836,-0.0071301247771836,-0.0071301247771836,-0.000374331550802139,-0.133689839572193,-0.0017825311942959,-0.053475935828877,0.0035650623885918,-0.133689839572193,-0.0017825311942959,-0.0017825311942959,-0.0481283422459893,-2.57219251336898,-0.0142602495543672,-5,1.73,-6.66,-161,-3.04,-232135.4,-18,-13,-189,-80,-8,-512.43,-117,-235,-4,-7,-755.78,1.5,-1.05,-1.28,-2,-3,-27,-9197.22,4,-4,-4,-0.21,-75,-1,-30,2,-75,-1,-1,-27,-1443,-8
"74e1be5ca87faec5ec3d437c1e833e093d9d4837","RFE",0.0202578268876611,0,0.00613259668508287,0.119705340699816,0.00138121546961326,28.0997421731123,0.0202578268876611,0,0.0386740331491713,0.0570902394106814,0.00552486187845304,0.45414364640884,0.0883977900552486,0.167587476979742,-0.00368324125230203,0.00736648250460405,0.455009208103131,-0.00184162062615101,0.00125230202578269,0,0,0.0202578268876611,0.00920810313075507,4.1327255985267,0.00184162062615101,0,0.00920810313075507,0,0.0368324125230203,0.00368324125230203,0.0276243093922652,-0.00184162062615101,0.0368324125230203,0.0202578268876611,0,0.00552486187845304,0.893186003683241,0.00368324125230203,11,0,3.33,65,0.75,15258.16,11,0,21,31,3,246.6,48,91,-2,4,247.07,-1,0.68,0,0,11,5,2244.07,1,0,5,0,20,2,15,-1,20,11,0,3,485,2
"39117086b38e9805f2b39e953d52ff018f293d39","RFE",-0.0036231884057971,0,-0.00210144927536232,-0.0289855072463768,-0.000398550724637681,-16.8528442028985,-0.0036231884057971,0,-0.0072463768115942,-0.00543478260869565,-0.0036231884057971,-0.341757246376812,-0.0489130434782609,-0.0634057971014493,-0.00543478260869565,-0.0036231884057971,-0.253713768115942,0,-0.000905797101449275,0,0,-0.0235507246376812,-0.0036231884057971,-1.18554347826087,0,-0.0036231884057971,0.00181159420289855,0,-0.00181159420289855,-0.00181159420289855,-0.00905797101449275,0,-0.00181159420289855,0,-0.00181159420289855,-0.0072463768115942,-0.233695652173913,-0.00181159420289855,-2,0,-1.16,-16,-0.22,-9302.76999999998,-2,0,-4,-3,-2,-188.65,-27,-35,-3,-2,-140.05,0,-0.5,0,0,-13,-2,-654.419999999999,0,-2,1,0,-1,-1,-5,0,-1,0,-1,-4,-129,-1
"d969fe8774c60d79d8e7b456a67822ca74ae7eed","RFE",-0.00181818181818182,0,0,-0.0163636363636364,-0.000236363636363636,-4.29998181818182,-0.00181818181818182,0,0,-0.00363636363636364,0,0.000581818181818195,0,-0.02,0,0,0.000581818181818195,0,0,0,0,-0.00181818181818182,0,-0.671454545454546,0,0,0,0,-0.00181818181818182,0,-0.00181818181818182,0,-0.00181818181818182,-0.00181818181818182,0,0,-0.130909090909091,0,-1,0,0,-9,-0.13,-2364.99,-1,0,0,-2,0,0.320000000000007,0,-11,0,0,0.320000000000007,0,0,0,0,-1,0,-369.3,0,0,0,0,-1,0,-1,0,-1,-1,0,0,-72,0
